year,round,from_country_id,to_country_id,total_points,tele_points,jury_points
1961,f,fi,be,0,,
1961,f,fr,lu,1,,
1961,f,fr,gb,0,,
1961,f,fr,ch,0,,
1961,f,fr,fr,0,,
1961,f,fr,dk,0,,
1961,f,fr,it,1,,
1961,f,fr,no,0,,
1961,f,fr,yu,2,,
1961,f,fr,es,2,,
1961,f,fr,mc,0,,
1961,f,fr,fi,1,,
1961,f,fr,nl,1,,
1961,f,fr,de,0,,
1961,f,fr,se,2,,
1961,f,fr,at,0,,
1961,f,fr,be,0,,
1961,f,de,lu,5,,
1961,f,de,gb,0,,
1961,f,de,ch,0,,
1961,f,de,fr,4,,
1961,f,de,dk,0,,
1961,f,de,it,0,,
1961,f,de,no,0,,
1961,f,de,yu,0,,
1961,f,de,es,0,,
1961,f,de,mc,0,,
1961,f,de,fi,0,,
1961,f,de,nl,1,,
1961,f,de,de,0,,
1961,f,de,se,0,,
1961,f,de,at,0,,
1961,f,de,be,0,,
1961,f,it,lu,3,,
1961,f,it,gb,1,,
1961,f,it,ch,2,,
1961,f,it,fr,0,,
1961,f,it,dk,0,,
1961,f,it,it,0,,
1961,f,it,no,0,,
1961,f,it,yu,0,,
1961,f,it,es,0,,
1961,f,it,mc,0,,
1961,f,it,fi,2,,
1961,f,it,nl,2,,
1961,f,it,de,0,,
1961,f,it,se,0,,
1961,f,it,at,0,,
1961,f,it,be,0,,
1961,f,lu,lu,0,,
1961,f,lu,gb,8,,
1961,f,lu,ch,0,,
1961,f,lu,fr,1,,
1961,f,lu,dk,0,,
1961,f,lu,it,0,,
1961,f,lu,no,0,,
1961,f,lu,yu,0,,
1961,f,lu,es,0,,
1961,f,lu,mc,0,,
1961,f,lu,fi,0,,
1961,f,lu,nl,0,,
1961,f,lu,de,0,,
1961,f,lu,se,0,,
1961,f,lu,at,0,,
1961,f,lu,be,1,,
1961,f,mc,lu,4,,
1961,f,mc,gb,0,,
1961,f,mc,ch,2,,
1961,f,mc,fr,2,,
1961,f,mc,dk,0,,
1961,f,mc,it,1,,
1961,f,mc,no,0,,
1961,f,mc,yu,0,,
1961,f,mc,es,1,,
1961,f,mc,mc,0,,
1961,f,mc,fi,0,,
1961,f,mc,nl,0,,
1961,f,mc,de,0,,
1961,f,mc,se,0,,
1961,f,mc,at,0,,
1961,f,mc,be,0,,
1961,f,nl,lu,1,,
1961,f,nl,gb,3,,
1961,f,nl,ch,2,,
1961,f,nl,fr,0,,
1961,f,nl,dk,1,,
1961,f,nl,it,1,,
1961,f,nl,no,0,,
1961,f,nl,yu,1,,
1961,f,nl,es,1,,
1961,f,nl,mc,0,,
1961,f,nl,fi,0,,
1961,f,nl,nl,0,,
1961,f,nl,de,0,,
1961,f,nl,se,0,,
1961,f,nl,at,0,,
1961,f,nl,be,0,,
1961,f,no,lu,0,,
1961,f,no,gb,0,,
1961,f,no,ch,0,,
1961,f,no,fr,0,,
1961,f,no,dk,8,,
1961,f,no,it,0,,
1961,f,no,no,0,,
1961,f,no,yu,0,,
1961,f,no,es,2,,
1961,f,no,mc,0,,
1961,f,no,fi,0,,
1961,f,no,nl,0,,
1961,f,no,de,0,,
1961,f,no,se,0,,
1961,f,no,at,0,,
1961,f,no,be,0,,
1961,f,es,lu,2,,
1961,f,es,gb,3,,
1961,f,es,ch,1,,
1961,f,es,fr,2,,
1961,f,es,dk,0,,
1961,f,es,it,0,,
1961,f,es,no,1,,
1961,f,es,yu,0,,
1961,f,es,es,0,,
1961,f,es,mc,1,,
1961,f,es,fi,0,,
1961,f,es,nl,0,,
1961,f,es,de,0,,
1961,f,es,se,0,,
1961,f,es,at,0,,
1961,f,es,be,0,,
1961,f,se,lu,1,,
1961,f,se,gb,0,,
1961,f,se,ch,4,,
1961,f,se,fr,1,,
1961,f,se,dk,2,,
1961,f,se,it,0,,
1961,f,se,no,0,,
1961,f,se,yu,0,,
1961,f,se,es,1,,
1961,f,se,mc,0,,
1961,f,se,fi,0,,
1961,f,se,nl,0,,
1961,f,se,de,1,,
1961,f,se,se,0,,
1961,f,se,at,0,,
1961,f,se,be,0,,
1961,f,ch,lu,1,,
1961,f,ch,gb,7,,
1961,f,ch,ch,0,,
1961,f,ch,fr,0,,
1961,f,ch,dk,0,,
1961,f,ch,it,0,,
1961,f,ch,no,0,,
1961,f,ch,yu,1,,
1961,f,ch,es,0,,
1961,f,ch,mc,1,,
1961,f,ch,fi,0,,
1961,f,ch,nl,0,,
1961,f,ch,de,0,,
1961,f,ch,se,0,,
1961,f,ch,at,0,,
1961,f,ch,be,0,,
1961,f,gb,lu,0,,
1961,f,gb,gb,0,,
1961,f,gb,ch,2,,
1961,f,gb,fr,2,,
1961,f,gb,dk,0,,
1961,f,gb,it,0,,
1961,f,gb,no,0,,
1961,f,gb,yu,1,,
1961,f,gb,es,1,,
1961,f,gb,mc,1,,
1961,f,gb,fi,2,,
1961,f,gb,nl,0,,
1961,f,gb,de,0,,
1961,f,gb,se,0,,
1961,f,gb,at,1,,
1961,f,gb,be,0,,
1961,f,yu,lu,5,,
1961,f,yu,gb,0,,
1961,f,yu,ch,1,,
1961,f,yu,fr,0,,
1961,f,yu,dk,0,,
1961,f,yu,it,1,,
1961,f,yu,no,1,,
1961,f,yu,yu,0,,
1961,f,yu,es,0,,
1961,f,yu,mc,0,,
1961,f,yu,fi,0,,
1961,f,yu,nl,2,,
1961,f,yu,de,0,,
1961,f,yu,se,0,,
1961,f,yu,at,0,,
1961,f,yu,be,0,,
1962,f,at,fr,2,,
1962,f,at,mc,3,,
1962,f,at,lu,1,,
1962,f,at,yu,0,,
1962,f,at,gb,0,,
1962,f,at,de,0,,
1962,f,at,fi,0,,
1962,f,at,se,0,,
1962,f,at,it,0,,
1962,f,at,dk,0,,
1962,f,at,no,0,,
1962,f,at,ch,0,,
1962,f,at,be,0,,
1962,f,at,es,0,,
1962,f,at,at,0,,
1962,f,at,nl,0,,
1962,f,be,fr,2,,
1962,f,be,mc,0,,
1962,f,be,lu,3,,
1962,f,be,yu,1,,
1962,f,be,gb,0,,
1962,f,be,de,0,,
1962,f,be,fi,0,,
1962,f,be,se,0,,
1962,f,be,it,0,,
1962,f,be,dk,0,,
1962,f,be,no,0,,
1962,f,be,ch,0,,
1962,f,be,be,0,,
1962,f,be,es,0,,
1962,f,be,at,0,,
1962,f,be,nl,0,,
1962,f,dk,fr,0,,
1962,f,dk,mc,0,,
1962,f,dk,lu,0,,
1962,f,dk,yu,0,,
1962,f,dk,gb,2,,
1962,f,dk,de,1,,
1962,f,dk,fi,0,,
1962,f,dk,se,3,,
1962,f,dk,it,0,,
1962,f,dk,dk,0,,
1962,f,dk,no,0,,
1962,f,dk,ch,0,,
1962,f,dk,be,0,,
1962,f,dk,es,0,,
1962,f,dk,at,0,,
1962,f,dk,nl,0,,
1962,f,fi,fr,0,,
1962,f,fi,mc,0,,
1962,f,fi,lu,0,,
1962,f,fi,yu,1,,
1962,f,fi,gb,3,,
1962,f,fi,de,2,,
1962,f,fi,fi,0,,
1962,f,fi,se,0,,
1962,f,fi,it,0,,
1962,f,fi,dk,0,,
1962,f,fi,no,0,,
1962,f,fi,ch,0,,
1962,f,fi,be,0,,
1962,f,fi,es,0,,
1962,f,fi,at,0,,
1962,f,fi,nl,0,,
1962,f,fr,fr,0,,
1962,f,fr,mc,1,,
1962,f,fr,lu,0,,
1962,f,fr,yu,3,,
1962,f,fr,gb,0,,
1962,f,fr,de,0,,
1962,f,fr,fi,0,,
1962,f,fr,se,0,,
1962,f,fr,it,0,,
1962,f,fr,dk,0,,
1962,f,fr,no,2,,
1962,f,fr,ch,0,,
1962,f,fr,be,0,,
1962,f,fr,es,0,,
1962,f,fr,at,0,,
1962,f,fr,nl,0,,
1962,f,de,fr,3,,
1962,f,de,mc,1,,
1962,f,de,lu,0,,
1962,f,de,yu,0,,
1962,f,de,gb,0,,
1962,f,de,de,0,,
1962,f,de,fi,0,,
1962,f,de,se,0,,
1962,f,de,it,0,,
1962,f,de,dk,0,,
1962,f,de,no,0,,
1962,f,de,ch,2,,
1962,f,de,be,0,,
1962,f,de,es,0,,
1962,f,de,at,0,,
1962,f,de,nl,0,,
1962,f,it,fr,2,,
1962,f,it,mc,0,,
1962,f,it,lu,0,,
1962,f,it,yu,3,,
1962,f,it,gb,0,,
1962,f,it,de,0,,
1962,f,it,fi,0,,
1962,f,it,se,0,,
1962,f,it,it,0,,
1962,f,it,dk,1,,
1962,f,it,no,0,,
1962,f,it,ch,0,,
1962,f,it,be,0,,
1962,f,it,es,0,,
1962,f,it,at,0,,
1962,f,it,nl,0,,
1962,f,lu,fr,1,,
1962,f,lu,mc,3,,
1962,f,lu,lu,0,,
1962,f,lu,yu,0,,
1962,f,lu,gb,0,,
1962,f,lu,de,0,,
1962,f,lu,fi,0,,
1962,f,lu,se,0,,
1962,f,lu,it,2,,
1962,f,lu,dk,0,,
1962,f,lu,no,0,,
1962,f,lu,ch,0,,
1962,f,lu,be,0,,
1962,f,lu,es,0,,
1962,f,lu,at,0,,
1962,f,lu,nl,0,,
1962,f,mc,fr,1,,
1962,f,mc,mc,0,,
1962,f,mc,lu,3,,
1962,f,mc,yu,0,,
1962,f,mc,gb,0,,
1962,f,mc,de,2,,
1962,f,mc,fi,0,,
1962,f,mc,se,0,,
1962,f,mc,it,0,,
1962,f,mc,dk,0,,
1962,f,mc,no,0,,
1962,f,mc,ch,0,,
1962,f,mc,be,0,,
1962,f,mc,es,0,,
1962,f,mc,at,0,,
1962,f,mc,nl,0,,
1962,f,nl,fr,0,,
1962,f,nl,mc,3,,
1962,f,nl,lu,0,,
1962,f,nl,yu,0,,
1962,f,nl,gb,0,,
1962,f,nl,de,2,,
1962,f,nl,fi,0,,
1962,f,nl,se,1,,
1962,f,nl,it,0,,
1962,f,nl,dk,0,,
1962,f,nl,no,0,,
1962,f,nl,ch,0,,
1962,f,nl,be,0,,
1962,f,nl,es,0,,
1962,f,nl,at,0,,
1962,f,nl,nl,0,,
1962,f,no,fr,3,,
1962,f,no,mc,2,,
1962,f,no,lu,0,,
1962,f,no,yu,0,,
1962,f,no,gb,0,,
1962,f,no,de,0,,
1962,f,no,fi,1,,
1962,f,no,se,0,,
1962,f,no,it,0,,
1962,f,no,dk,0,,
1962,f,no,no,0,,
1962,f,no,ch,0,,
1962,f,no,be,0,,
1962,f,no,es,0,,
1962,f,no,at,0,,
1962,f,no,nl,0,,
1962,f,es,fr,2,,
1962,f,es,mc,0,,
1962,f,es,lu,3,,
1962,f,es,yu,0,,
1962,f,es,gb,1,,
1962,f,es,de,0,,
1962,f,es,fi,0,,
1962,f,es,se,0,,
1962,f,es,it,0,,
1962,f,es,dk,0,,
1962,f,es,no,0,,
1962,f,es,ch,0,,
1962,f,es,be,0,,
1962,f,es,es,0,,
1962,f,es,at,0,,
1962,f,es,nl,0,,
1962,f,se,fr,3,,
1962,f,se,mc,0,,
1962,f,se,lu,0,,
1962,f,se,yu,2,,
1962,f,se,gb,0,,
1962,f,se,de,0,,
1962,f,se,fi,0,,
1962,f,se,se,0,,
1962,f,se,it,0,,
1962,f,se,dk,1,,
1962,f,se,no,0,,
1962,f,se,ch,0,,
1962,f,se,be,0,,
1962,f,se,es,0,,
1962,f,se,at,0,,
1962,f,se,nl,0,,
1962,f,ch,fr,3,,
1962,f,ch,mc,0,,
1962,f,ch,lu,1,,
1962,f,ch,yu,0,,
1962,f,ch,gb,2,,
1962,f,ch,de,0,,
1962,f,ch,fi,0,,
1962,f,ch,se,0,,
1962,f,ch,it,0,,
1962,f,ch,dk,0,,
1962,f,ch,no,0,,
1962,f,ch,ch,0,,
1962,f,ch,be,0,,
1962,f,ch,es,0,,
1962,f,ch,at,0,,
1962,f,ch,nl,0,,
1962,f,gb,fr,1,,
1962,f,gb,mc,0,,
1962,f,gb,lu,0,,
1962,f,gb,yu,0,,
1962,f,gb,gb,0,,
1962,f,gb,de,2,,
1962,f,gb,fi,3,,
1962,f,gb,se,0,,
1962,f,gb,it,0,,
1962,f,gb,dk,0,,
1962,f,gb,no,0,,
1962,f,gb,ch,0,,
1962,f,gb,be,0,,
1962,f,gb,es,0,,
1962,f,gb,at,0,,
1962,f,gb,nl,0,,
