id,year,to_country_id,to_country,performer,song,place_contest,sf_num,running_final,running_sf,place_final,points_final,place_sf,points_sf,points_tele_final,points_jury_final,points_tele_sf,points_jury_sf,composers,lyricists,youtube_url
aaw,1957,ch,Switzerland,Lys Assia,L'enfant Que J'étais,8.0,,10.0,,8.0,5.0,,,,,,,Géo Voumard,Émile Gardaz,https://youtube.com/watch?v=16ltDhw2lxs
aax,1957,at,Austria,Bob Martin,"Wohin, Kleines Pony",10.0,,5.0,,10.0,3.0,,,,,,,Kurt Svab,Hans Werner;Kurt Svab,https://youtube.com/watch?v=5mETWk_nB1Q
aay,1958,fr,France,André Claveau,Dors Mon Amour,1.0,,3.0,,1.0,27.0,,,,,,,Pierre Delanoë,Hubert Giraud,https://youtube.com/watch?v=H2CQBXmgBmM
aaz,1958,ch,Switzerland,Lys Assia,Giorgio,2.0,,10.0,,2.0,24.0,,,,,,,Paul Burkhard,Fridolin Tschudi,https://youtube.com/watch?v=gGsalvX8K4c
aa0,1958,it,Italy,Domenico Modugno,Nel Blu Dipinto Di Blu,3.0,,1.0,,3.0,13.0,,,,,,,Domenico Modugno,Domenico Modugno;Franco Migliacci,https://youtube.com/watch?v=6DTo5aVLq5E
aa1,1958,se,Sweden,Alice Babs,Lilla Stjärna,4.0,,5.0,,4.0,10.0,,,,,,,Åke Gerhard,Gunnar Wersén,https://youtube.com/watch?v=f5DNvsB94uI
aa2,1958,be,Belgium,Fud Leclerc,Ma Petite Chatte,5.0,,7.0,,5.0,8.0,,,,,,,André Dohet,,https://youtube.com/watch?v=i-k1TjSHSjU
aa3,1958,at,Austria,Liane Augustin,Die Ganze Welt Braucht Liebe,5.0,,9.0,,5.0,8.0,,,,,,,Günther Leopold;Kurt Werner,,https://youtube.com/watch?v=rXnNYa01hYg
aa4,1958,de,Germany,Margot Hielscher,Für Zwei Groschen Musik,7.0,,8.0,,7.0,5.0,,,,,,,Friedrich Meyer,Fred Rauch;Walter Brandin,https://youtube.com/watch?v=cwGVd7Cj1sw
aa5,1958,dk,Denmark,Raquel Rastenni,Jeg Rev Et Blad Ud Af Min Dagbog,8.0,,6.0,,8.0,3.0,,,,,,,Harry Jensen;Sven Ulrik,,https://youtube.com/watch?v=IGMLrLgVmR0
aa6,1958,nl,Netherlands,Corry Brokken,Heel De Wereld,9.0,,2.0,,9.0,1.0,,,,,,,Benny Vreden,,https://youtube.com/watch?v=yoiVXVA8fs8
aa7,1958,lu,Luxembourg,Solange Berry,Un Grand Amour,9.0,,4.0,,9.0,1.0,,,,,,,Michel Eric,Monique Laniece;Raymond Roche,https://youtube.com/watch?v=si14zjMHrhI
aa8,1959,nl,Netherlands,Teddy Scholten,Een Beetje,1.0,,5.0,,1.0,21.0,,,,,,,Dick Schallies,Willy van Hemert,https://youtube.com/watch?v=DG12m8uF8nc
aa9,1959,gb,United Kingdom,Pearl Carr & Teddy Johnson,Sing Little Birdie,2.0,,10.0,,2.0,16.0,,,,,,,Stan Butcher,Syd Cordell,https://youtube.com/watch?v=0m4ADnfu91k
aba,1959,fr,France,Jean Philippe,"Oui, Oui, Oui, Oui",3.0,,1.0,,3.0,15.0,,,,,,,Hubert Giraud,Pierre Cour,https://youtube.com/watch?v=S8muEiL3pyA
abb,1959,ch,Switzerland,Christa Williams,Irgendwoher,4.0,,8.0,,4.0,14.0,,,,,,,Lothar Löffler,,https://youtube.com/watch?v=uAB_OJ8UveU
abc,1959,dk,Denmark,Birthe Wilke,"Uh, Jeg Ville Ønske Jeg Var Dig",5.0,,2.0,,5.0,12.0,,,,,,,Otto Lington,Carl Andersen,https://youtube.com/watch?v=0HkweMhGKG8
abd,1959,it,Italy,Domenico Modugno,Piove,6.0,,3.0,,6.0,9.0,,,,,,,Domenico Modugno,Dino Verde,https://youtube.com/watch?v=n0enVNAU5sY
abe,1959,be,Belgium,Bob Benny,Hou Toch Van Mij,6.0,,11.0,,6.0,9.0,,,,,,,Hans Flower,Ke Riema,https://youtube.com/watch?v=VkxrfcoSwOs
abf,1959,de,Germany,Alice and Ellen Kessler,Heut' Woll'n Wir Tanzen Geh'n,8.0,,6.0,,8.0,5.0,,,,,,,Helmut Zander,Astrid Voltmann,https://youtube.com/watch?v=hetvfnTLsT0
abg,1959,se,Sweden,Brita Borg,Augustin,9.0,,7.0,,9.0,4.0,,,,,,,Harry Sandin,Åke Gerhard,https://youtube.com/watch?v=AsTBC75F5Ds
abh,1959,at,Austria,Ferry Graf,Der K. Und K. Kalypso Aus Wien,9.0,,9.0,,9.0,4.0,,,,,,,Norbert Pawlicki,Günther Leopold,https://youtube.com/watch?v=_PMFkXaW090
abi,1959,mc,Monaco,Jacques Pills,Mon Ami Pierrot,11.0,,4.0,,11.0,1.0,,,,,,,Florence Veran,Raymond Bravard,https://youtube.com/watch?v=Gwqzn3FNVWw
abj,1960,fr,France,Jacqueline Boyer,Tom Pillibi,1.0,,13.0,,1.0,32.0,,,,,,,André Popp,Pierre Cour,https://youtube.com/watch?v=pL2cekes0yo
abk,1960,gb,United Kingdom,Bryan Johnson,"Looking High, High, High",2.0,,1.0,,2.0,25.0,,,,,,,John Watson,,https://youtube.com/watch?v=C2GivwSboXM
abl,1960,mc,Monaco,François Deguelt,Ce Soir-là,3.0,,8.0,,3.0,15.0,,,,,,,Hubert Giraud,Pierre Dorsey,https://youtube.com/watch?v=AMi5qpBbSVw
abm,1960,no,Norway,Nora Brockstedt,Voi-voi,4.0,,6.0,,4.0,11.0,,,,,,,Georg Elgaaen,,https://youtube.com/watch?v=gvPieP0mys4
abn,1960,de,Germany,Wyn Hoop,"Bonne Nuit, Ma Chérie!",4.0,,11.0,,4.0,11.0,,,,,,,Franz Josef Breuer,Kurt Schwabach,https://youtube.com/watch?v=3dP6ASCSLSk
abo,1960,be,Belgium,Fud Leclerc,Mon Amour Pour Toi,6.0,,5.0,,6.0,9.0,,,,,,,Jack Say,Robert Montal,https://youtube.com/watch?v=byD35ZhNeI8
abp,1960,at,Austria,Harry Winter,Du Hast Mich So Fasziniert,7.0,,7.0,,7.0,6.0,,,,,,,Robert Stolz,Robert Gilbert,https://youtube.com/watch?v=wSdNep2GPUE
abq,1960,ch,Switzerland,Anita Traversi,Cielo E Terra,8.0,,9.0,,8.0,5.0,,,,,,,Mario Robbiani,,https://youtube.com/watch?v=wQFa5bcRXUE
abr,1960,it,Italy,Renato Rascel,Romantica,8.0,,12.0,,8.0,5.0,,,,,,,Dino Verde,Renato Rascel,https://youtube.com/watch?v=JfeQAUOktng
abs,1960,se,Sweden,Siw Malmkvist,Alla Andra Får Varann,10.0,,2.0,,10.0,4.0,,,,,,,Ulf Kjellqvist,Åke Gerhard,https://youtube.com/watch?v=t5zNjGUkUec
abt,1960,dk,Denmark,Katy Bødtger,Det Var En Yndig Tid,10.0,,4.0,,10.0,4.0,,,,,,,Vilfred Kjær,Sven Buemann,https://youtube.com/watch?v=WgBhdYQkIr0
abu,1960,nl,Netherlands,Rudi Carrell,Wat Een Geluk,12.0,,10.0,,12.0,2.0,,,,,,,Dick Schallies,Willy van Hemert,https://youtube.com/watch?v=eLx8spP9XwE
abv,1960,lu,Luxembourg,Camillo Felgen,So Laang We's Du Do Bast,13.0,,3.0,,13.0,1.0,,,,,,,Henri Moots;Jean Roderes,Henri Moots,https://youtube.com/watch?v=csoaoaVg_I8
abw,1961,lu,Luxembourg,Jean-Claude Pascal,Nous Les Amoureux,1.0,,14.0,,1.0,31.0,,,,,,,Jacques Datin,Maurice Vidalin,https://youtube.com/watch?v=g5ZDbEBt3iY
abx,1961,gb,United Kingdom,The Allisons,Are You Sure?,2.0,,15.0,,2.0,24.0,,,,,,,Bob Allison;John Allison,,https://youtube.com/watch?v=ySufc64ssis
aby,1961,ch,Switzerland,Franca di Rienzo,Nous Aurons Demain,3.0,,10.0,,3.0,16.0,,,,,,,Géo Voumard,Émile Gardaz,https://youtube.com/watch?v=03-NjbYQz14
abz,1961,fr,France,Jean-Paul Mauric,Printemps (avril Carillonne),4.0,,9.0,,4.0,13.0,,,,,,,Francis Baxter,Guy Favereau,https://youtube.com/watch?v=Ci-6Sl2jO_4
ab0,1961,dk,Denmark,Dario Campeotto,Angelique,5.0,,13.0,,5.0,12.0,,,,,,,Aksel V. Rasmussen,,https://youtube.com/watch?v=OdhVPUcimAM
ab1,1961,it,Italy,Betty Curtis,Al Di Là,5.0,,16.0,,5.0,12.0,,,,,,,Carlo Donida,Mogol,https://youtube.com/watch?v=yUt5XlrAAY4
ab2,1961,no,Norway,Nora Brockstedt,Sommer i Palma,7.0,,12.0,,7.0,10.0,,,,,,,Jan Wølner,Egil Hagen,https://youtube.com/watch?v=5i_BCD46-fo
ab3,1961,yu,Yugoslavia,Ljiljana Petrović,Neke Davne Zvezde,8.0,,5.0,,8.0,9.0,,,,,,,Jože Privšek,Miroslav Antić,https://youtube.com/watch?v=0F7t2NFx8Ew
ab4,1961,es,Spain,Conchita Bautista,Estando Contigo,9.0,,1.0,,9.0,8.0,,,,,,,Augusto Algueró,Antonio Guijarro,https://youtube.com/watch?v=FAvnLCTvIwo
ab5,1961,mc,Monaco,Colette Deréal,"Allons, Allons Les Enfants",10.0,,2.0,,10.0,6.0,,,,,,,Hubert Giraud,Pierre Delanoë,https://youtube.com/watch?v=mg1ydx9FCyA
ab6,1961,fi,Finland,Laila Kinnunen,Valoa Ikkunassa,10.0,,4.0,,10.0,6.0,,,,,,,Eino Hurme,Sauvo Puhtila,https://youtube.com/watch?v=xMu44znU-8A
ab7,1961,nl,Netherlands,Greetje Kauffeld,Wat Een Dag,10.0,,6.0,,10.0,6.0,,,,,,,Dick Schallies,Pieter Goemans,https://youtube.com/watch?v=eBnIF9gQxkg
ab8,1961,de,Germany,Lale Andersen,Einmal Sehen Wir Uns Wieder,13.0,,8.0,,13.0,3.0,,,,,,,Rudolf Maluck,Ernst Bader,https://youtube.com/watch?v=FGAfCD0mzVc
ab9,1961,se,Sweden,Lill-Babs,"April, April",14.0,,7.0,,14.0,2.0,,,,,,,Bobbie Ericsson,Bo Eneby,https://youtube.com/watch?v=JzldSvZG6cc
aca,1961,at,Austria,Jimmy Makulis,Sehnsucht,15.0,,3.0,,15.0,1.0,,,,,,,Leopold Andrejewitsch,,https://youtube.com/watch?v=GYYr9pLQNOQ
acb,1961,be,Belgium,Bob Benny,"September, Gouden Roos",15.0,,11.0,,15.0,1.0,,,,,,,Hans Flower,Wim Brabants,https://youtube.com/watch?v=lwEBgI8-KLs
acc,1962,fr,France,Isabelle Aubret,Un Premier Amour,1.0,,9.0,,1.0,26.0,,,,,,,Claude-Henri Vic,Roland Stephane Valade,https://youtube.com/watch?v=KNeYh0Rh6_8
acd,1962,mc,Monaco,François Deguelt,Dis Rien,2.0,,16.0,,2.0,13.0,,,,,,,Henri Salvador,René Rouzaud,https://youtube.com/watch?v=Qeyse4ot0h0
ace,1962,lu,Luxembourg,Camillo Felgen,Petit Bonhomme,3.0,,14.0,,3.0,11.0,,,,,,,Jacques Datin,Maurice Vidalin,https://youtube.com/watch?v=iPyam2tNeRg
acf,1962,yu,Yugoslavia,Lola Novaković,Ne Pali Svetlo U Sumrak,4.0,,12.0,,4.0,10.0,,,,,,,Jože Privšek,Dragutin Britvić,https://youtube.com/watch?v=Bfd8_B10x9g
acg,1962,gb,United Kingdom,Ronnie Carroll,Ring-a-ding Girl,4.0,,13.0,,4.0,10.0,,,,,,,Syd Cordell,Stan Butcher,https://youtube.com/watch?v=ABJgaFnCn40
ach,1962,de,Germany,Conny Froboess,Zwei Kleine Italiener,6.0,,7.0,,6.0,9.0,,,,,,,Christian Bruhn,Georg Buschor,https://youtube.com/watch?v=FMPBVUgyRiI
aci,1962,fi,Finland,Marion Rung,Tipi-tii,7.0,,1.0,,7.0,4.0,,,,,,,Jaakko Salo;Kari Tuomisaari,,https://youtube.com/watch?v=vn3ufKi2PXw
acj,1962,se,Sweden,Inger Berggren,Sol Och Vår,7.0,,6.0,,7.0,4.0,,,,,,,Åke Gerhard;Ulf Kjellqvist,,https://youtube.com/watch?v=hJAC1hZ7mg8
ack,1962,it,Italy,Claudio Villa,"Addio, Addio",9.0,,15.0,,9.0,3.0,,,,,,,Domenico Modugno,Franco Migliacci,https://youtube.com/watch?v=npD6wev8Dtw
acl,1962,dk,Denmark,Ellen Winther,Vuggevise,10.0,,5.0,,10.0,2.0,,,,,,,Kjeld Bonfils,Sejr Volmer-Sørensen,https://youtube.com/watch?v=fdEXLuIFSrA
acm,1962,no,Norway,Inger Jacobsen,"Kom Sol, Kom Regn",10.0,,10.0,,10.0,2.0,,,,,,,Kjell Karlsen,Ivar Andersen,https://youtube.com/watch?v=58QSyaUc6Ms
acn,1962,ch,Switzerland,Jean Philippe,Le Retour,10.0,,11.0,,10.0,2.0,,,,,,,Géo Voumard,Émile Gardaz,https://youtube.com/watch?v=UMCltpzNK64
aco,1962,be,Belgium,Fud Leclerc,Ton Nom,13.0,,2.0,,13.0,0.0,,,,,,,Eric Channe,Tony Golan,https://youtube.com/watch?v=nJ5wY_NIEGM
acp,1962,es,Spain,Victor Balaguer,Llámame,13.0,,3.0,,13.0,0.0,,,,,,,Mario Selles,Miguel Portoles,https://youtube.com/watch?v=1bqOFeTvXmA
acq,1962,at,Austria,Eleonore Schwarz,Nur In Der Wiener Luft,13.0,,4.0,,13.0,0.0,,,,,,,Bruno Uher,,https://youtube.com/watch?v=1cRmfgPeK40
acr,1962,nl,Netherlands,De Spelbrekers,Katinka,13.0,,8.0,,13.0,0.0,,,,,,,Joop Stokkermans,Lodewijk Post;Henny Hamhuis,https://youtube.com/watch?v=DPzoydLh5YY
acs,1963,dk,Denmark,Grethe & Jørgen Ingmann,Dansevise,1.0,,8.0,,1.0,42.0,,,,,,,Otto Francker,Sejr Volmer-Sørensen,https://youtube.com/watch?v=AYyhJvRE3mQ
act,1963,ch,Switzerland,Esther Ofarim,T'en Va Pas,2.0,,10.0,,2.0,40.0,,,,,,,Géo Voumard,Émile Gardaz,https://www.youtube.com/watch?v=2IugsFPu5JY
acu,1963,it,Italy,Emilio Pericoli,Uno Per Tutte,3.0,,6.0,,3.0,37.0,,,,,,,Tony Renis,Alberto Testa;Mogol,https://youtube.com/watch?v=gn8GMilGDZw
acv,1963,gb,United Kingdom,Ronnie Carroll,Say Wonderful Things,4.0,,1.0,,4.0,28.0,,,,,,,Philip Green,Norman Newell,https://www.youtube.com/watch?v=rwOOqARFxB4
acw,1963,fr,France,Alain Barrière,Elle était Si Jolie,5.0,,11.0,,5.0,25.0,,,,,,,A. Migiani;Alain Barrière,,https://youtube.com/watch?v=_2tzFKthcVs
acx,1963,mc,Monaco,Françoise Hardy,L'amour S'en Va,5.0,,15.0,,5.0,25.0,,,,,,,Françoise Hardy,,https://youtube.com/watch?v=YgoaMzC3W18
acy,1963,at,Austria,Carmela Corren,Vielleicht Geschieht Ein Wunder,7.0,,4.0,,7.0,16.0,,,,,,,Erwin Halletz,Peter Wehle,https://youtube.com/watch?v=biJfeQaHZe0
acz,1963,lu,Luxembourg,Nana Mouskouri,A Force De Prier,8.0,,16.0,,8.0,13.0,,,,,,,Raymond Bernard,Pierre Delanoë,https://youtube.com/watch?v=98HlhsUVX70
ac0,1963,de,Germany,Heidi Brühl,Marcel,9.0,,3.0,,9.0,5.0,,,,,,,Charly Niessen,,https://youtube.com/watch?v=K0kB6xoGM8g
ac1,1963,be,Belgium,Jacques Raymond,Waarom,10.0,,14.0,,10.0,4.0,,,,,,,Hans Flower,Wim Brabants,https://youtube.com/watch?v=Pi4vDTGHArQ
ac2,1963,yu,Yugoslavia,Vice Vukov,Brodovi,11.0,,9.0,,11.0,3.0,,,,,,,Mario Nardelli,,https://youtube.com/watch?v=fi0HHCI8698
ac3,1963,es,Spain,José Guardiola,Algo Prodigioso,12.0,,12.0,,12.0,2.0,,,,,,,Fernando García Morcillo,Camillo Murillo Janero,https://youtube.com/watch?v=lO5xI5PkdOQ
ac4,1963,nl,Netherlands,Annie Palmen,Een Speeldoos,13.0,,2.0,,13.0,0.0,,,,,,,Pieter Goemans,,https://youtube.com/watch?v=lWINVYSsrTU
ac5,1963,no,Norway,Anita Thallaug,Solhverv,13.0,,5.0,,13.0,0.0,,,,,,,Dag Kristoffersen,,https://youtube.com/watch?v=kaOIm-2hfm4
ac6,1963,fi,Finland,Laila Halme,Muistojeni Laulu,13.0,,7.0,,13.0,0.0,,,,,,,Börje Sundgren,,https://youtube.com/watch?v=632aaGy8QGk
ac7,1963,se,Sweden,Monica Zetterlund,En Gång I Stockholm,13.0,,13.0,,13.0,0.0,,,,,,,Bobbie Ericsson,Beppe Wolgers,https://youtube.com/watch?v=IReJgMZ8Z6k
ac8,1964,it,Italy,Gigliola Cinquetti,Non Ho L'étà,1.0,,12.0,,1.0,49.0,,,,,,,Nicola Salerno,Mario Panzeri,https://youtube.com/watch?v=Utd9cHBPfRA
ac9,1964,gb,United Kingdom,Matt Monro,I Love The Little Things,2.0,,8.0,,2.0,17.0,,,,,,,Tony Hatch,,https://youtube.com/watch?v=3aopcEG5Yfc
ada,1964,mc,Monaco,Romuald,Où Sont-elles Passées?,3.0,,10.0,,3.0,15.0,,,,,,,Francis Lai,Pierre Barouh,https://youtube.com/watch?v=bemKlMd39fc
adb,1964,lu,Luxembourg,Hugues Aufray,Dès Que Le Printemps Revient,4.0,,1.0,,4.0,14.0,,,,,,,Hugues Aufray,Jacques Plante,https://youtube.com/watch?v=HQPy7voOC10
adc,1964,fr,France,Rachel,Le Chant De Mallory,4.0,,7.0,,4.0,14.0,,,,,,,André Popp,Pierre Cour,https://youtube.com/watch?v=qq_1Kg2-8PU
add,1964,at,Austria,Udo Jürgens,"Warum Nur, Warum?",6.0,,6.0,,6.0,11.0,,,,,,,Udo Jürgens,,https://youtube.com/watch?v=KrN_p9jbsfk
ade,1964,fi,Finland,Lasse Mårtenson,Laiskotellen,7.0,,5.0,,7.0,9.0,,,,,,,Lasse Mårtenson,Sauvo Puhtila,https://youtube.com/watch?v=az0qmvY29mo
adf,1964,no,Norway,Arne Bendiksen,Spiral,8.0,,3.0,,8.0,6.0,,,,,,,Sigurd Jansen,Egil Hagen,https://youtube.com/watch?v=V6ecLdbR_is
adg,1964,dk,Denmark,Bjørn Tidmand,Sangen Om Dig,9.0,,4.0,,9.0,4.0,,,,,,,Aksel V. Rasmussen,Mogens Dam,https://youtube.com/watch?v=gJ3GR2usfwU
adh,1964,nl,Netherlands,Anneke Grönloh,Jij Bent Mijn Leven,10.0,,2.0,,10.0,2.0,,,,,,,Ted Powder,René de Vos,https://youtube.com/watch?v=mT51r1Up21A
adi,1964,be,Belgium,Robert Cogoi,Près De Ma Rivière,10.0,,15.0,,10.0,2.0,,,,,,,Robert Cogoi,,https://youtube.com/watch?v=J3F1lYxBv9s
adj,1964,es,Spain,"Tim, Nelly and Tony",Caracola,12.0,,16.0,,12.0,1.0,,,,,,,Fina de Calderón,,https://youtube.com/watch?v=jWtEypoNSno
adk,1964,de,Germany,Nora Nova,Man Gewöhnt Sich So Schnell An Das Schöne,13.0,,9.0,,13.0,0.0,,,,,,,Rudi von der Dovenmühle,Niels Nobach,https://youtube.com/watch?v=xFFiqaB30t8
adl,1964,pt,Portugal,António Calvário,Oração,13.0,,11.0,,13.0,0.0,,,,,,,João Nobre,Francisco Nicholson;Rogério Bracinha,https://www.youtube.com/watch?v=avK0zW4LRwg
adm,1964,yu,Yugoslavia,Sabahudin Kurt,Život je sklopio krug,13.0,,13.0,,13.0,0.0,,,,,,,Srđan Matijević,Stevan Raičković,https://youtube.com/watch?v=6A9BH2Za1d0
adn,1964,ch,Switzerland,Anita Traversi,I Miei Pensieri,13.0,,14.0,,13.0,0.0,,,,,,,Giovanni Pelli,Sanzio Chiesa,https://youtube.com/watch?v=_LVzg3_6Wmo
ado,1965,lu,Luxembourg,France Gall,"Poupée De Cire, Poupée De Son",1.0,,15.0,,1.0,32.0,,,,,,,Serge Gainsbourg,,https://youtube.com/watch?v=7cv9NIzGmSI
adp,1965,gb,United Kingdom,Kathy Kirby,I Belong,2.0,,2.0,,2.0,26.0,,,,,,,Peter Lee Sterling,Phil Peters,https://youtube.com/watch?v=OeDI52bdntQ
adq,1965,fr,France,Guy Mardel,N'avoue Jamais,3.0,,11.0,,3.0,22.0,,,,,,,Guy Mardel,Françoise Dorin,https://youtube.com/watch?v=vmVnRGU7QfM
adr,1965,at,Austria,Udo Jürgens,"Sag Ihr, Ich Lass' Sie Grüßen",4.0,,6.0,,4.0,16.0,,,,,,,Udo Jürgens,Frank Bohlen,https://youtube.com/watch?v=G4qjmqacMTA
ads,1965,it,Italy,Bobby Solo,"Se Piangi, Se Ridi",5.0,,13.0,,5.0,15.0,,,,,,,Bobby Solo;Gianni Marchetti,Bobby Solo;Mogol,https://www.youtube.com/watch?v=jJjRG6GHuDs
adt,1965,ie,Ireland,Butch Moore,I'm Walking The Streets In The Rain,6.0,,4.0,,6.0,11.0,,,,,,,George Prendergast;Joe Harrigan;Teresa Conlon,,https://youtube.com/watch?v=6RVo0MD9rB8
adu,1965,dk,Denmark,Birgit Brüel,For Din Skyld,7.0,,14.0,,7.0,10.0,,,,,,,Jørgen Jersild,Poul Henningsen,https://youtube.com/watch?v=Vd5ArHG65U0
adv,1965,ch,Switzerland,Yovanna,Non à Jamais Sans Toi,8.0,,18.0,,8.0,8.0,,,,,,,Bob Calfati,Jean Charles,https://youtube.com/watch?v=lYCmykU9i9w
adw,1965,mc,Monaco,Marjorie Noël,Va Dire à L'amour,9.0,,9.0,,9.0,7.0,,,,,,,Raymond Bernard,Jacques Mareuil,https://www.youtube.com/watch?v=VECQD6-eDg4
adx,1965,se,Sweden,Ingvar Wixell,Absent Friend,10.0,,10.0,,10.0,6.0,,,,,,,Dag Wirén,Alf Henriksson,https://youtube.com/watch?v=Ab5HKubM9sA
ady,1965,nl,Netherlands,Conny Van den bos,Het Is Genoeg,11.0,,1.0,,11.0,5.0,,,,,,,Johnny Holshuyzen,Joke van Soest,https://youtube.com/watch?v=biu20ms4udc
adz,1965,yu,Yugoslavia,Vice Vukov,Ceznja,12.0,,17.0,,12.0,2.0,,,,,,,Julio Marić,Žarko Roje,https://youtube.com/watch?v=iXJxDa05ywE
ad0,1965,no,Norway,Kirsti Sparboe,Karusell,13.0,,7.0,,13.0,1.0,,,,,,,Jolly Kramer-Johansen,,https://youtube.com/watch?v=7r_wetdKq1w
ad1,1965,pt,Portugal,Simone de Oliviera,Sol De Inverno,13.0,,12.0,,13.0,1.0,,,,,,,Carlos Nóbrega e Sousa,Jerónimo Bragança,https://www.youtube.com/watch?v=VECQD6-eDg4
ad2,1965,es,Spain,Conchita Bautista,"Qué Bueno, Qué Bueno",15.0,,3.0,,15.0,0.0,,,,,,,Antonio Figueroa Egea,,https://youtube.com/watch?v=V9TbIw45Gec
ad3,1965,de,Germany,Ulla Wiesner,"Paradies, Wo Bist Du?",15.0,,5.0,,15.0,0.0,,,,,,,Barbara Kist;Hans Blum,,https://youtube.com/watch?v=3biE-kqszkk
ad4,1965,be,Belgium,Lize Marke,Als Het Weer Lente Is,15.0,,8.0,,15.0,0.0,,,,,,,Jef van den Berg,Jaak Dreesen,https://youtube.com/watch?v=fChcH7yu3Qc
